case_id,split,seed,turns,voltage_v,velocity_um_s,correct_fraction,live_recovery,dead_removal,live_purity,dead_outlet_purity,wall_loss,live_lost,dead_lost
turns_3.5_voltage_7_velocity_800um_s,design,7,3.5,7.0,800.0,0.3972222222222222,0.2,0.5944444444444444,0.3870967741935484,0.5721925133689839,0.2222222222222222,64,16
turns_3.5_voltage_7_velocity_800um_s,design,11,3.5,7.0,800.0,0.37777777777777777,0.19444444444444445,0.5611111111111111,0.35353535353535354,0.505,0.16944444444444445,46,15
turns_3.5_voltage_7_velocity_800um_s,design,13,3.5,7.0,800.0,0.39444444444444443,0.2222222222222222,0.5666666666666667,0.36036036036036034,0.5340314136125655,0.16111111111111112,51,7
turns_3.5_voltage_7_velocity_800um_s,validation,101,3.5,7.0,800.0,0.39444444444444443,0.22777777777777777,0.5611111111111111,0.37962962962962965,0.5459459459459459,0.18611111111111112,55,12
turns_3.5_voltage_7_velocity_800um_s,validation,103,3.5,7.0,800.0,0.35833333333333334,0.2388888888888889,0.4777777777777778,0.344,0.5088757396449705,0.18333333333333332,54,12
turns_3.5_voltage_7_velocity_800um_s,validation,107,3.5,7.0,800.0,0.3611111111111111,0.14444444444444443,0.5777777777777777,0.28888888888888886,0.5098039215686274,0.18333333333333332,54,12
turns_3.5_voltage_7_velocity_1200um_s,design,7,3.5,7.0,1200.0,0.4027777777777778,0.2388888888888889,0.5666666666666667,0.39090909090909093,0.5368421052631579,0.16666666666666666,49,11
turns_3.5_voltage_7_velocity_1200um_s,design,11,3.5,7.0,1200.0,0.4,0.23333333333333334,0.5666666666666667,0.37168141592920356,0.5204081632653061,0.14166666666666666,44,7
turns_3.5_voltage_7_velocity_1200um_s,design,13,3.5,7.0,1200.0,0.4083333333333333,0.25,0.5666666666666667,0.4017857142857143,0.5151515151515151,0.1388888888888889,39,11
turns_3.5_voltage_7_velocity_1200um_s,validation,101,3.5,7.0,1200.0,0.4222222222222222,0.2722222222222222,0.5722222222222222,0.4188034188034188,0.5175879396984925,0.12222222222222222,35,9
turns_3.5_voltage_7_velocity_1200um_s,validation,103,3.5,7.0,1200.0,0.4166666666666667,0.2388888888888889,0.5944444444444444,0.40186915887850466,0.5119617224880383,0.12222222222222222,35,9
turns_3.5_voltage_7_velocity_1200um_s,validation,107,3.5,7.0,1200.0,0.4222222222222222,0.2222222222222222,0.6222222222222222,0.40404040404040403,0.5384615384615384,0.14722222222222223,44,9
turns_3.5_voltage_7_velocity_1800um_s,design,7,3.5,7.0,1800.0,0.4222222222222222,0.25,0.5944444444444444,0.4166666666666667,0.5219512195121951,0.13055555555555556,37,10
turns_3.5_voltage_7_velocity_1800um_s,design,11,3.5,7.0,1800.0,0.4305555555555556,0.25,0.6111111111111112,0.41284403669724773,0.5116279069767442,0.1,30,6
turns_3.5_voltage_7_velocity_1800um_s,design,13,3.5,7.0,1800.0,0.43333333333333335,0.26666666666666666,0.6,0.42105263157894735,0.5192307692307693,0.10555555555555556,32,6
turns_3.5_voltage_7_velocity_1800um_s,validation,101,3.5,7.0,1800.0,0.41388888888888886,0.2777777777777778,0.55,0.42016806722689076,0.5238095238095238,0.14444444444444443,40,12
turns_3.5_voltage_7_velocity_1800um_s,validation,103,3.5,7.0,1800.0,0.42777777777777776,0.24444444444444444,0.6111111111111112,0.4074074074074074,0.5365853658536586,0.13055555555555556,41,6
turns_3.5_voltage_7_velocity_1800um_s,validation,107,3.5,7.0,1800.0,0.4638888888888889,0.31666666666666665,0.6111111111111112,0.4789915966386555,0.5445544554455446,0.10833333333333334,31,8
turns_3.5_voltage_7_velocity_2600um_s,design,7,3.5,7.0,2600.0,0.49722222222222223,0.37222222222222223,0.6222222222222222,0.5491803278688525,0.5283018867924528,0.07222222222222222,13,13
turns_3.5_voltage_7_velocity_2600um_s,design,11,3.5,7.0,2600.0,0.4222222222222222,0.26666666666666666,0.5777777777777777,0.44036697247706424,0.49523809523809526,0.11388888888888889,26,15
turns_3.5_voltage_7_velocity_2600um_s,design,13,3.5,7.0,2600.0,0.4305555555555556,0.3111111111111111,0.55,0.4409448818897638,0.5103092783505154,0.10833333333333334,29,10
turns_3.5_voltage_7_velocity_2600um_s,validation,101,3.5,7.0,2600.0,0.4361111111111111,0.26666666666666666,0.6055555555555555,0.43636363636363634,0.5093457943925234,0.1,27,9
turns_3.5_voltage_7_velocity_2600um_s,validation,103,3.5,7.0,2600.0,0.48333333333333334,0.37222222222222223,0.5944444444444444,0.5193798449612403,0.5431472081218274,0.09444444444444444,23,11
turns_3.5_voltage_7_velocity_2600um_s,validation,107,3.5,7.0,2600.0,0.4583333333333333,0.32222222222222224,0.5944444444444444,0.48739495798319327,0.5245098039215687,0.10277777777777777,25,12
turns_3.5_voltage_9_velocity_800um_s,design,7,3.5,9.0,800.0,0.36944444444444446,0.18888888888888888,0.55,0.33663366336633666,0.5823529411764706,0.24722222222222223,75,14
turns_3.5_voltage_9_velocity_800um_s,design,11,3.5,9.0,800.0,0.36944444444444446,0.16111111111111112,0.5777777777777777,0.30526315789473685,0.5473684210526316,0.20833333333333334,65,10
turns_3.5_voltage_9_velocity_800um_s,design,13,3.5,9.0,800.0,0.375,0.14444444444444443,0.6055555555555555,0.30952380952380953,0.5532994923857868,0.21944444444444444,66,13
turns_3.5_voltage_9_velocity_800um_s,validation,101,3.5,9.0,800.0,0.2833333333333333,0.1111111111111111,0.45555555555555555,0.2222222222222222,0.5256410256410257,0.31666666666666665,86,28
turns_3.5_voltage_9_velocity_800um_s,validation,103,3.5,9.0,800.0,0.3638888888888889,0.15555555555555556,0.5722222222222222,0.3146067415730337,0.544973544973545,0.22777777777777777,66,16
turns_3.5_voltage_9_velocity_800um_s,validation,107,3.5,9.0,800.0,0.3611111111111111,0.14444444444444443,0.5777777777777777,0.3333333333333333,0.5875706214689266,0.2916666666666667,81,24
turns_3.5_voltage_9_velocity_1200um_s,design,7,3.5,9.0,1200.0,0.37777777777777777,0.17222222222222222,0.5833333333333334,0.3229166666666667,0.5303030303030303,0.18333333333333332,56,10
turns_3.5_voltage_9_velocity_1200um_s,design,11,3.5,9.0,1200.0,0.36666666666666664,0.16666666666666666,0.5666666666666667,0.32608695652173914,0.5604395604395604,0.2388888888888889,70,16
turns_3.5_voltage_9_velocity_1200um_s,design,13,3.5,9.0,1200.0,0.38055555555555554,0.17777777777777778,0.5833333333333334,0.32989690721649484,0.5412371134020618,0.19166666666666668,59,10
turns_3.5_voltage_9_velocity_1200um_s,validation,101,3.5,9.0,1200.0,0.3638888888888889,0.18888888888888888,0.5388888888888889,0.33663366336633666,0.5243243243243243,0.20555555555555555,58,16
turns_3.5_voltage_9_velocity_1200um_s,validation,103,3.5,9.0,1200.0,0.3888888888888889,0.18888888888888888,0.5888888888888889,0.35051546391752575,0.5698924731182796,0.21388888888888888,66,11
turns_3.5_voltage_9_velocity_1200um_s,validation,107,3.5,9.0,1200.0,0.3888888888888889,0.20555555555555555,0.5722222222222222,0.3627450980392157,0.544973544973545,0.19166666666666668,57,12
turns_3.5_voltage_9_velocity_1800um_s,design,7,3.5,9.0,1800.0,0.3972222222222222,0.2222222222222222,0.5722222222222222,0.4,0.5202020202020202,0.17222222222222222,45,17
turns_3.5_voltage_9_velocity_1800um_s,design,11,3.5,9.0,1800.0,0.44166666666666665,0.2611111111111111,0.6222222222222222,0.4351851851851852,0.5714285714285714,0.15555555555555556,49,7
turns_3.5_voltage_9_velocity_1800um_s,design,13,3.5,9.0,1800.0,0.39166666666666666,0.2,0.5833333333333334,0.36,0.5172413793103449,0.15833333333333333,46,11
turns_3.5_voltage_9_velocity_1800um_s,validation,101,3.5,9.0,1800.0,0.41388888888888886,0.2,0.6277777777777778,0.391304347826087,0.5305164319248826,0.1527777777777778,44,11
turns_3.5_voltage_9_velocity_1800um_s,validation,103,3.5,9.0,1800.0,0.4305555555555556,0.23333333333333334,0.6277777777777778,0.4158415841584158,0.5678391959798995,0.16666666666666666,52,8
turns_3.5_voltage_9_velocity_1800um_s,validation,107,3.5,9.0,1800.0,0.39166666666666666,0.2388888888888889,0.5444444444444444,0.38392857142857145,0.5130890052356021,0.15833333333333333,44,13
turns_3.5_voltage_9_velocity_2600um_s,design,7,3.5,9.0,2600.0,0.45,0.3,0.6,0.46956521739130436,0.5482233502538071,0.13333333333333333,37,11
turns_3.5_voltage_9_velocity_2600um_s,design,11,3.5,9.0,2600.0,0.4083333333333333,0.3277777777777778,0.4888888888888889,0.44696969696969696,0.4861878453038674,0.13055555555555556,28,19
turns_3.5_voltage_9_velocity_2600um_s,design,13,3.5,9.0,2600.0,0.43333333333333335,0.25555555555555554,0.6111111111111112,0.45098039215686275,0.5583756345177665,0.16944444444444445,47,14
turns_3.5_voltage_9_velocity_2600um_s,validation,101,3.5,9.0,2600.0,0.43333333333333335,0.2722222222222222,0.5944444444444444,0.45794392523364486,0.5323383084577115,0.14444444444444443,37,15
turns_3.5_voltage_9_velocity_2600um_s,validation,103,3.5,9.0,2600.0,0.40555555555555556,0.2611111111111111,0.55,0.3949579831932773,0.5129533678756477,0.13333333333333333,39,9
turns_3.5_voltage_9_velocity_2600um_s,validation,107,3.5,9.0,2600.0,0.44166666666666665,0.2777777777777778,0.6055555555555555,0.45454545454545453,0.5317073170731708,0.125,34,11
turns_3.5_voltage_11_velocity_800um_s,design,7,3.5,11.0,800.0,0.3388888888888889,0.09444444444444444,0.5833333333333334,0.24285714285714285,0.5898876404494382,0.3111111111111111,90,22
turns_3.5_voltage_11_velocity_800um_s,design,11,3.5,11.0,800.0,0.3277777777777778,0.1111111111111111,0.5444444444444444,0.22988505747126436,0.5975609756097561,0.30277777777777776,94,15
turns_3.5_voltage_11_velocity_800um_s,design,13,3.5,11.0,800.0,0.325,0.07777777777777778,0.5722222222222222,0.19444444444444445,0.5885714285714285,0.3138888888888889,94,19
turns_3.5_voltage_11_velocity_800um_s,validation,101,3.5,11.0,800.0,0.36944444444444446,0.14444444444444443,0.5944444444444444,0.30952380952380953,0.6079545454545454,0.2777777777777778,85,15
turns_3.5_voltage_11_velocity_800um_s,validation,103,3.5,11.0,800.0,0.3194444444444444,0.15555555555555556,0.48333333333333334,0.27184466019417475,0.564935064935065,0.2861111111111111,85,18
turns_3.5_voltage_11_velocity_800um_s,validation,107,3.5,11.0,800.0,0.3194444444444444,0.1388888888888889,0.5,0.25510204081632654,0.5487804878048781,0.2722222222222222,81,17
turns_3.5_voltage_11_velocity_1200um_s,design,7,3.5,11.0,1200.0,0.32222222222222224,0.12777777777777777,0.5166666666666667,0.24210526315789474,0.5314285714285715,0.25,75,15
turns_3.5_voltage_11_velocity_1200um_s,design,11,3.5,11.0,1200.0,0.3638888888888889,0.15555555555555556,0.5722222222222222,0.3218390804597701,0.5628415300546448,0.25,72,18
turns_3.5_voltage_11_velocity_1200um_s,design,13,3.5,11.0,1200.0,0.38055555555555554,0.15555555555555556,0.6055555555555555,0.3111111111111111,0.5797872340425532,0.22777777777777777,73,9
turns_3.5_voltage_11_velocity_1200um_s,validation,101,3.5,11.0,1200.0,0.3472222222222222,0.12222222222222222,0.5722222222222222,0.275,0.5421052631578948,0.25,71,19
turns_3.5_voltage_11_velocity_1200um_s,validation,103,3.5,11.0,1200.0,0.35833333333333334,0.16666666666666666,0.55,0.3,0.5409836065573771,0.21388888888888888,66,11
turns_3.5_voltage_11_velocity_1200um_s,validation,107,3.5,11.0,1200.0,0.4,0.18333333333333332,0.6166666666666667,0.3793103448275862,0.5873015873015873,0.23333333333333334,69,15
turns_3.5_voltage_11_velocity_1800um_s,design,7,3.5,11.0,1800.0,0.40555555555555556,0.17777777777777778,0.6333333333333333,0.35555555555555557,0.5480769230769231,0.17222222222222222,54,8
turns_3.5_voltage_11_velocity_1800um_s,design,11,3.5,11.0,1800.0,0.3888888888888889,0.21666666666666667,0.5611111111111111,0.37142857142857144,0.5372340425531915,0.18611111111111112,54,13
turns_3.5_voltage_11_velocity_1800um_s,design,13,3.5,11.0,1800.0,0.40555555555555556,0.17222222222222222,0.6388888888888888,0.36046511627906974,0.539906103286385,0.16944444444444445,51,10
turns_3.5_voltage_11_velocity_1800um_s,validation,101,3.5,11.0,1800.0,0.4027777777777778,0.20555555555555555,0.6,0.3894736842105263,0.5654450261780105,0.20555555555555555,60,14
turns_3.5_voltage_11_velocity_1800um_s,validation,103,3.5,11.0,1800.0,0.38055555555555554,0.2222222222222222,0.5388888888888889,0.37037037037037035,0.5480225988700564,0.20833333333333334,60,15
turns_3.5_voltage_11_velocity_1800um_s,validation,107,3.5,11.0,1800.0,0.3861111111111111,0.20555555555555555,0.5666666666666667,0.39361702127659576,0.5396825396825397,0.21388888888888888,56,21
turns_3.5_voltage_11_velocity_2600um_s,design,7,3.5,11.0,2600.0,0.38333333333333336,0.18333333333333332,0.5833333333333334,0.3473684210526316,0.4838709677419355,0.13333333333333333,35,13
turns_3.5_voltage_11_velocity_2600um_s,design,11,3.5,11.0,2600.0,0.39444444444444443,0.21666666666666667,0.5722222222222222,0.3786407766990291,0.5175879396984925,0.16111111111111112,45,13
turns_3.5_voltage_11_velocity_2600um_s,design,13,3.5,11.0,2600.0,0.3527777777777778,0.20555555555555555,0.5,0.34579439252336447,0.4787234042553192,0.18055555555555555,45,20
turns_3.5_voltage_11_velocity_2600um_s,validation,101,3.5,11.0,2600.0,0.3611111111111111,0.18333333333333332,0.5388888888888889,0.336734693877551,0.5187165775401069,0.20833333333333334,57,18
turns_3.5_voltage_11_velocity_2600um_s,validation,103,3.5,11.0,2600.0,0.3861111111111111,0.2388888888888889,0.5333333333333333,0.3944954128440367,0.518918918918919,0.18333333333333332,48,18
turns_3.5_voltage_11_velocity_2600um_s,validation,107,3.5,11.0,2600.0,0.38333333333333336,0.19444444444444445,0.5722222222222222,0.33980582524271846,0.5099009900990099,0.1527777777777778,46,9
turns_3.5_voltage_13_velocity_800um_s,design,7,3.5,13.0,800.0,0.3333333333333333,0.1111111111111111,0.5555555555555556,0.25316455696202533,0.684931506849315,0.375,114,21
turns_3.5_voltage_13_velocity_800um_s,design,11,3.5,13.0,800.0,0.32222222222222224,0.07777777777777778,0.5666666666666667,0.175,0.6415094339622641,0.33611111111111114,109,12
turns_3.5_voltage_13_velocity_800um_s,design,13,3.5,13.0,800.0,0.3388888888888889,0.10555555555555556,0.5722222222222222,0.24675324675324675,0.6358024691358025,0.33611111111111114,102,19
turns_3.5_voltage_13_velocity_800um_s,validation,101,3.5,13.0,800.0,0.3472222222222222,0.12777777777777777,0.5666666666666667,0.2839506172839506,0.6455696202531646,0.33611111111111114,101,20
turns_3.5_voltage_13_velocity_800um_s,validation,103,3.5,13.0,800.0,0.3527777777777778,0.11666666666666667,0.5888888888888889,0.2625,0.6424242424242425,0.3194444444444444,100,15
turns_3.5_voltage_13_velocity_800um_s,validation,107,3.5,13.0,800.0,0.2638888888888889,0.08333333333333333,0.4444444444444444,0.1595744680851064,0.6349206349206349,0.3888888888888889,119,21
turns_3.5_voltage_13_velocity_1200um_s,design,7,3.5,13.0,1200.0,0.37777777777777777,0.16666666666666666,0.5888888888888889,0.3225806451612903,0.5988700564971752,0.25,79,11
turns_3.5_voltage_13_velocity_1200um_s,design,11,3.5,13.0,1200.0,0.33611111111111114,0.13333333333333333,0.5388888888888889,0.2553191489361702,0.5574712643678161,0.25555555555555554,79,13
turns_3.5_voltage_13_velocity_1200um_s,design,13,3.5,13.0,1200.0,0.31666666666666665,0.13333333333333333,0.5,0.24,0.6164383561643836,0.31666666666666665,100,14
turns_3.5_voltage_13_velocity_1200um_s,validation,101,3.5,13.0,1200.0,0.3527777777777778,0.1111111111111111,0.5944444444444444,0.25316455696202533,0.6294117647058823,0.30833333333333335,97,14
turns_3.5_voltage_13_velocity_1200um_s,validation,103,3.5,13.0,1200.0,0.325,0.1388888888888889,0.5111111111111111,0.27472527472527475,0.5935483870967742,0.31666666666666665,92,22
turns_3.5_voltage_13_velocity_1200um_s,validation,107,3.5,13.0,1200.0,0.3333333333333333,0.12777777777777777,0.5388888888888889,0.25555555555555554,0.5511363636363636,0.2611111111111111,78,16
turns_3.5_voltage_13_velocity_1800um_s,design,7,3.5,13.0,1800.0,0.3611111111111111,0.17777777777777778,0.5444444444444444,0.32,0.5664739884393064,0.24166666666666667,73,14
turns_3.5_voltage_13_velocity_1800um_s,design,11,3.5,13.0,1800.0,0.375,0.17777777777777778,0.5722222222222222,0.3333333333333333,0.5852272727272727,0.24444444444444444,75,13
turns_3.5_voltage_13_velocity_1800um_s,design,13,3.5,13.0,1800.0,0.37222222222222223,0.17222222222222222,0.5722222222222222,0.31958762886597936,0.569060773480663,0.22777777777777777,71,11
turns_3.5_voltage_13_velocity_1800um_s,validation,101,3.5,13.0,1800.0,0.40555555555555556,0.2111111111111111,0.6,0.3838383838383838,0.5567010309278351,0.18611111111111112,56,11
turns_3.5_voltage_13_velocity_1800um_s,validation,103,3.5,13.0,1800.0,0.3333333333333333,0.09444444444444444,0.5722222222222222,0.21794871794871795,0.5124378109452736,0.225,65,16
turns_3.5_voltage_13_velocity_1800um_s,validation,107,3.5,13.0,1800.0,0.3611111111111111,0.11666666666666667,0.6055555555555555,0.25925925925925924,0.5767195767195767,0.25,79,11
turns_3.5_voltage_13_velocity_2600um_s,design,7,3.5,13.0,2600.0,0.36944444444444446,0.15555555555555556,0.5833333333333334,0.32558139534883723,0.5440414507772021,0.225,64,17
turns_3.5_voltage_13_velocity_2600um_s,design,11,3.5,13.0,2600.0,0.39444444444444443,0.2,0.5888888888888889,0.4,0.5608465608465608,0.225,61,20
turns_3.5_voltage_13_velocity_2600um_s,design,13,3.5,13.0,2600.0,0.36666666666666664,0.14444444444444443,0.5888888888888889,0.29545454545454547,0.5247524752475248,0.19444444444444445,58,12
turns_3.5_voltage_13_velocity_2600um_s,validation,101,3.5,13.0,2600.0,0.3888888888888889,0.2,0.5777777777777777,0.36,0.5591397849462365,0.20555555555555555,62,12
turns_3.5_voltage_13_velocity_2600um_s,validation,103,3.5,13.0,2600.0,0.3888888888888889,0.16111111111111112,0.6166666666666667,0.32954545454545453,0.5577889447236181,0.20277777777777778,63,10
