case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um
spiral_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.45,23,spiral,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.5285714285714286,0.4,0.5285714285714286,A_live_inner_dead_outer,0.4,0.6571428571428571,0.07142857142857142,5.13164582696521,12.019045410494938,6.887399583529728
spiral_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.5,23,spiral,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.5,0.5285714285714286,0.4,0.5285714285714286,A_live_inner_dead_outer,0.42857142857142855,0.6285714285714286,0.07142857142857142,5.13164582696521,12.019045410494938,6.887399583529728
spiral_dep_1_sign_1_f_455.326kHz_V_7_u_2600_split_0.55,23,spiral,True,1.0,455326.0,3.5,180.0,120.0,7.0,2600.0,0.55,0.5285714285714286,0.4,0.5285714285714286,A_live_inner_dead_outer,0.45714285714285713,0.6,0.07142857142857142,5.13164582696521,12.019045410494938,6.887399583529728
spiral_dep_1_sign_1_f_50kHz_V_7_u_2600_split_0.55,23,spiral,True,1.0,50000.0,3.5,180.0,120.0,7.0,2600.0,0.55,0.36428571428571427,0.5071428571428571,0.5071428571428571,B_live_outer_dead_inner,0.38571428571428573,0.34285714285714286,0.12857142857142856,-1.8666192509008461,2.129227742396564,3.99584699329741
spiral_dep_1_sign_1_f_100kHz_V_7_u_2600_split_0.45,23,spiral,True,1.0,100000.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.4785714285714286,0.44285714285714284,0.4785714285714286,A_live_inner_dead_outer,0.4,0.5571428571428572,0.07857142857142857,5.142588893505786,6.828495960350468,1.685907066844682
spiral_dep_1_sign_1_f_250kHz_V_7_u_2600_split_0.45,23,spiral,True,1.0,250000.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.4785714285714286,0.44285714285714284,0.4785714285714286,A_live_inner_dead_outer,0.4,0.5571428571428572,0.07857142857142857,5.132507715564751,6.808962825567225,1.6764551100024745
spiral_dep_1_sign_1_f_100kHz_V_7_u_2600_split_0.55,23,spiral,True,1.0,100000.0,3.5,180.0,120.0,7.0,2600.0,0.55,0.45,0.4714285714285714,0.4714285714285714,B_live_outer_dead_inner,0.45714285714285713,0.44285714285714284,0.07857142857142857,5.142588893505786,6.828495960350468,1.685907066844682
spiral_dep_1_sign_1_f_250kHz_V_7_u_2600_split_0.55,23,spiral,True,1.0,250000.0,3.5,180.0,120.0,7.0,2600.0,0.55,0.45,0.4714285714285714,0.4714285714285714,B_live_outer_dead_inner,0.45714285714285713,0.44285714285714284,0.07857142857142857,5.132507715564751,6.808962825567225,1.6764551100024745
spiral_dep_1_sign_1_f_750kHz_V_7_u_2600_split_0.55,23,spiral,True,1.0,750000.0,3.5,180.0,120.0,7.0,2600.0,0.55,0.44285714285714284,0.4714285714285714,0.4714285714285714,B_live_outer_dead_inner,0.45714285714285713,0.42857142857142855,0.08571428571428572,5.132518511571273,4.417942734273394,0.7145757772978785
spiral_dep_1_sign_1_f_1000kHz_V_7_u_2600_split_0.55,23,spiral,True,1.0,1000000.0,3.5,180.0,120.0,7.0,2600.0,0.55,0.44285714285714284,0.4714285714285714,0.4714285714285714,B_live_outer_dead_inner,0.45714285714285713,0.42857142857142855,0.08571428571428572,5.133956964210715,4.435075051520405,0.6988819126903101
spiral_dep_1_sign_1_f_2000kHz_V_7_u_2600_split_0.55,23,spiral,True,1.0,2000000.0,3.5,180.0,120.0,7.0,2600.0,0.55,0.44285714285714284,0.4714285714285714,0.4714285714285714,B_live_outer_dead_inner,0.45714285714285713,0.42857142857142855,0.08571428571428572,5.144345446789762,4.459648928184845,0.684696518604917
spiral_dep_1_sign_1_f_50kHz_V_7_u_2600_split_0.5,23,spiral,True,1.0,50000.0,3.5,180.0,120.0,7.0,2600.0,0.5,0.4,0.4714285714285714,0.4714285714285714,B_live_outer_dead_inner,0.38571428571428573,0.4142857142857143,0.12857142857142856,-1.8666192509008461,2.129227742396564,3.99584699329741
spiral_dep_1_sign_1_f_100kHz_V_7_u_2600_split_0.5,23,spiral,True,1.0,100000.0,3.5,180.0,120.0,7.0,2600.0,0.5,0.4642857142857143,0.45714285714285713,0.4642857142857143,A_live_inner_dead_outer,0.42857142857142855,0.5,0.07857142857142857,5.142588893505786,6.828495960350468,1.685907066844682
spiral_dep_1_sign_1_f_250kHz_V_7_u_2600_split_0.5,23,spiral,True,1.0,250000.0,3.5,180.0,120.0,7.0,2600.0,0.5,0.4642857142857143,0.45714285714285713,0.4642857142857143,A_live_inner_dead_outer,0.42857142857142855,0.5,0.07857142857142857,5.132507715564751,6.808962825567225,1.6764551100024745
spiral_dep_1_sign_1_f_750kHz_V_7_u_2600_split_0.45,23,spiral,True,1.0,750000.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.45714285714285713,0.45714285714285713,0.45714285714285713,A_live_inner_dead_outer,0.4,0.5142857142857142,0.08571428571428572,5.132518511571273,4.417942734273394,0.7145757772978785
spiral_dep_1_sign_1_f_750kHz_V_7_u_2600_split_0.5,23,spiral,True,1.0,750000.0,3.5,180.0,120.0,7.0,2600.0,0.5,0.45714285714285713,0.45714285714285713,0.45714285714285713,A_live_inner_dead_outer,0.42857142857142855,0.4857142857142857,0.08571428571428572,5.132518511571273,4.417942734273394,0.7145757772978785
spiral_dep_1_sign_1_f_1000kHz_V_7_u_2600_split_0.45,23,spiral,True,1.0,1000000.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.45714285714285713,0.45714285714285713,0.45714285714285713,A_live_inner_dead_outer,0.4,0.5142857142857142,0.08571428571428572,5.133956964210715,4.435075051520405,0.6988819126903101
spiral_dep_1_sign_1_f_1000kHz_V_7_u_2600_split_0.5,23,spiral,True,1.0,1000000.0,3.5,180.0,120.0,7.0,2600.0,0.5,0.45714285714285713,0.45714285714285713,0.45714285714285713,A_live_inner_dead_outer,0.42857142857142855,0.4857142857142857,0.08571428571428572,5.133956964210715,4.435075051520405,0.6988819126903101
spiral_dep_1_sign_1_f_2000kHz_V_7_u_2600_split_0.45,23,spiral,True,1.0,2000000.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.45714285714285713,0.45714285714285713,0.45714285714285713,A_live_inner_dead_outer,0.4,0.5142857142857142,0.08571428571428572,5.144345446789762,4.459648928184845,0.684696518604917
spiral_dep_1_sign_1_f_2000kHz_V_7_u_2600_split_0.5,23,spiral,True,1.0,2000000.0,3.5,180.0,120.0,7.0,2600.0,0.5,0.45714285714285713,0.45714285714285713,0.45714285714285713,A_live_inner_dead_outer,0.42857142857142855,0.4857142857142857,0.08571428571428572,5.144345446789762,4.459648928184845,0.684696518604917
spiral_dep_1_sign_1_f_50kHz_V_7_u_2600_split_0.45,23,spiral,True,1.0,50000.0,3.5,180.0,120.0,7.0,2600.0,0.45,0.4142857142857143,0.45714285714285713,0.45714285714285713,B_live_outer_dead_inner,0.37142857142857144,0.45714285714285713,0.12857142857142856,-1.8666192509008461,2.129227742396564,3.99584699329741
