case_id,seed,geometry,dep_enabled,dep_sign,frequency_hz,turns,pitch_um,channel_width_um,voltage_v,velocity_um_s,outlet_split_ratio,correct_A_live_inner_dead_outer,correct_B_live_outer_dead_inner,target_correct,preferred_direction,live_recovery_A,dead_removal_A,wall_loss,live_final_lateral_mean_um,dead_final_lateral_mean_um,distribution_gap_um,sample_id,optimization_score
spiral_dep_1_sign_1_f_401.519kHz_V_4.87875_u_3247_split_0.476666,101,spiral,True,1.0,401519.3826090835,5.7822092408271875,134.4751509260812,109.1469174465635,4.878750217258938,3246.887736427992,0.4766656289120774,0.5833333333333334,0.375,0.5833333333333334,A_live_inner_dead_outer,0.5333333333333333,0.6333333333333333,0.041666666666666664,0.22417153147735658,7.612222375757993,7.388050844280636,46,0.5628855367104558
spiral_dep_1_sign_1_f_1630.33kHz_V_6.20617_u_2969_split_0.513148,101,spiral,True,1.0,1630330.7649595463,2.732960803469419,313.22437143504436,155.73481166891588,6.206173626960781,2969.3693597162014,0.5131480006720793,0.5416666666666666,0.43333333333333335,0.5416666666666666,A_live_inner_dead_outer,0.6,0.48333333333333334,0.025,-5.576459415106677,7.083076477147609,12.659535892254286,2,0.5623048102356838
spiral_dep_1_sign_1_f_1080.46kHz_V_5.34293_u_1085_split_0.390604,101,spiral,True,1.0,1080460.4700460033,6.227120203033467,206.42131058367804,175.91970581388657,5.342925426142311,1084.6862531748802,0.3906037259021019,0.5083333333333333,0.4666666666666667,0.5083333333333333,A_live_inner_dead_outer,0.35,0.6666666666666666,0.025,-0.024045576537123175,6.107341674423169,6.131387250960292,5,0.5028588823371745
spiral_dep_1_sign_1_f_1445.27kHz_V_4.43381_u_4156_split_0.398988,101,spiral,True,1.0,1445269.7110083587,2.877336587728291,209.70316319685747,162.74909475930306,4.433814227604483,4156.437384329924,0.398988095596203,0.4666666666666667,0.5,0.5,B_live_outer_dead_inner,0.26666666666666666,0.6666666666666666,0.03333333333333333,11.838620446728576,5.4502175240099895,6.388402922718587,6,0.48555361169087435
spiral_dep_1_sign_1_f_883.861kHz_V_14.6618_u_1732_split_0.452187,101,spiral,True,1.0,883861.3092609006,2.686905330007623,160.343249770185,171.27923870078624,14.661807805779814,1732.3253682209497,0.4521872761735003,0.5166666666666667,0.4166666666666667,0.5166666666666667,A_live_inner_dead_outer,0.45,0.5833333333333334,0.06666666666666667,-7.618214580875795,0.22751142215861234,7.845726003034407,30,0.4680495706788043
spiral_dep_1_sign_1_f_1240.31kHz_V_10.5342_u_2691_split_0.501812,101,spiral,True,1.0,1240312.1548396468,4.768799720939054,216.67262878557065,179.1037470665922,10.534159763696126,2691.3149396455087,0.5018124842692727,0.5,0.4166666666666667,0.5,A_live_inner_dead_outer,0.5,0.5,0.08333333333333333,2.9346450760458276,19.004839163182954,16.070194087137125,3,0.46428077634854853
spiral_dep_1_sign_1_f_754.389kHz_V_4.61043_u_2848_split_0.616167,101,spiral,True,1.0,754389.2559158715,5.999781197328483,227.42972637198815,116.86773805976671,4.610425826720922,2847.6156086937185,0.6161666796907411,0.425,0.5166666666666667,0.5166666666666667,B_live_outer_dead_inner,0.5333333333333333,0.31666666666666665,0.058333333333333334,9.694449619988802,5.57057191261064,4.1238777073781625,16,0.4631621774961794
spiral_dep_1_sign_1_f_1825.35kHz_V_5.9254_u_1914_split_0.447393,101,spiral,True,1.0,1825346.661135972,5.400414899320263,140.38731804463802,153.19100946329036,5.925403118724283,1913.6356719794949,0.4473928746587165,0.4583333333333333,0.5,0.5,B_live_outer_dead_inner,0.4,0.5166666666666667,0.041666666666666664,2.6431262045635515,1.539877359629649,1.1032488449339026,14,0.4544129953797356
spiral_dep_1_sign_1_f_1277.26kHz_V_8.27572_u_3716_split_0.357361,101,spiral,True,1.0,1277257.5299252213,4.185259434564725,236.98778536631428,167.38652720543007,8.275718786351527,3716.4430083458815,0.3573605195067864,0.5083333333333333,0.4166666666666667,0.5083333333333333,A_live_inner_dead_outer,0.3,0.7166666666666667,0.075,4.664878141419263,10.000103304276854,5.335225162857591,34,0.4396742339847637
spiral_dep_1_sign_1_f_1766.88kHz_V_5.60168_u_1653_split_0.38098,101,spiral,True,1.0,1766875.5925064168,5.56912238362068,259.44875035118923,113.55577340889337,5.601682638599437,1652.8246586210398,0.3809802635384406,0.4666666666666667,0.44166666666666665,0.4666666666666667,A_live_inner_dead_outer,0.21666666666666667,0.7166666666666667,0.09166666666666666,-0.2199296895665658,7.780288614677493,8.00021830424406,47,0.38866753988364294
spiral_dep_1_sign_1_f_792.54kHz_V_11.4687_u_4492_split_0.559649,101,spiral,True,1.0,792539.655629694,3.0696582804517494,186.40291222811683,106.11921768776253,11.46865419446831,4491.500033454526,0.5596494666107164,0.4166666666666667,0.48333333333333334,0.48333333333333334,B_live_outer_dead_inner,0.4,0.43333333333333335,0.1,-0.7861613520731179,3.907094457874799,4.6932558099479165,11,0.38210635657312503
spiral_dep_1_sign_1_f_534.244kHz_V_16.3429_u_4263_split_0.612041,101,spiral,True,1.0,534243.9127718268,4.087546797717737,213.8717541069282,158.02297036243348,16.342948031877967,4262.617798524928,0.6120411023929041,0.425,0.44166666666666665,0.44166666666666665,B_live_outer_dead_inner,0.5,0.35,0.13333333333333333,-5.236616976263602,15.39602190469063,20.632638880954232,37,0.36419722219048356
spiral_dep_1_sign_1_f_150.233kHz_V_12.0583_u_2375_split_0.381331,101,spiral,True,1.0,150232.77879645408,3.452708927267553,251.91821946455823,148.2504908667505,12.058268126522568,2375.3572898552034,0.38133122882276277,0.4583333333333333,0.4083333333333333,0.4583333333333333,A_live_inner_dead_outer,0.26666666666666666,0.65,0.13333333333333333,-0.9391770795183931,13.367364517450019,14.306541596968412,39,0.355559499721207
spiral_dep_1_sign_1_f_970.692kHz_V_9.02637_u_3333_split_0.429366,101,spiral,True,1.0,970691.7127066992,3.881865690845391,164.6312939617221,145.46935551965848,9.026368435141707,3333.405804220273,0.42936621713585016,0.4083333333333333,0.475,0.475,B_live_outer_dead_inner,0.31666666666666665,0.5,0.11666666666666667,4.359371557975527,6.6595710567142765,2.30019949873875,44,0.34420079799495495
spiral_dep_1_sign_1_f_285.24kHz_V_11.8333_u_2467_split_0.533836,101,spiral,True,1.0,285239.8037377889,3.9395062614503464,307.47460962264125,152.00836921202657,11.833314617912771,2467.0946002191836,0.533836374289554,0.44166666666666665,0.425,0.44166666666666665,A_live_inner_dead_outer,0.4666666666666667,0.4166666666666667,0.13333333333333333,-10.466385416989798,4.839568647895879,15.305954064885677,10,0.34289048292620933
spiral_dep_1_sign_1_f_330.521kHz_V_7.48312_u_1744_split_0.578696,101,spiral,True,1.0,330521.46836501017,4.716648218999719,129.64660459757798,123.3743052053022,7.483118586928906,1743.5040480374255,0.5786963706666175,0.44166666666666665,0.44166666666666665,0.44166666666666665,A_live_inner_dead_outer,0.4,0.48333333333333334,0.11666666666666667,2.6200057287896024,10.466309169168305,7.846303440378703,29,0.33305188042818146
spiral_dep_1_sign_1_f_116.621kHz_V_4.19595_u_3630_split_0.584667,101,spiral,True,1.0,116621.47235717815,5.742945557690762,194.61813942105968,97.28580305563176,4.195949244669122,3629.7143214820153,0.5846669150995312,0.4583333333333333,0.425,0.4583333333333333,A_live_inner_dead_outer,0.45,0.4666666666666667,0.11666666666666667,10.257440260554871,12.084860117040165,1.8274198564852941,19,0.32564301275927454
spiral_dep_1_sign_1_f_226.919kHz_V_10.9318_u_4238_split_0.620953,101,spiral,True,1.0,226918.5167063296,5.885167124032442,220.66994376886714,134.00968627803329,10.931760599594334,4237.5821190777615,0.6209531955439278,0.45,0.4,0.45,A_live_inner_dead_outer,0.5666666666666667,0.3333333333333333,0.15,-2.4644257438508115,10.405356689555816,12.869782433406627,27,0.3214791297336265
spiral_dep_1_sign_1_f_692.927kHz_V_14.8592_u_1179_split_0.494108,101,spiral,True,1.0,692926.9948715075,3.167285601248345,127.28188966566432,165.81963649299766,14.859245314572755,1178.5381125569397,0.4941078566193866,0.38333333333333336,0.44166666666666665,0.44166666666666665,B_live_outer_dead_inner,0.23333333333333334,0.5333333333333333,0.175,-9.970502147374681,6.770993759227256,16.741495906601937,38,0.2986326502930744
spiral_dep_1_sign_1_f_1114.19kHz_V_6.89287_u_3948_split_0.456921,101,spiral,True,1.0,1114188.0274947819,6.502887243747685,267.9823934693444,136.18478872706302,6.892865750212257,3948.021842755104,0.4569214272070622,0.4166666666666667,0.43333333333333335,0.43333333333333335,B_live_outer_dead_inner,0.31666666666666665,0.5166666666666667,0.15,10.591228529569374,20.658355354091615,10.06712682452224,28,0.2936018406314223
spiral_dep_1_sign_1_f_1205.18kHz_V_16.8677_u_2047_split_0.637154,101,spiral,True,1.0,1205184.596960495,4.422418220576759,228.95668990247205,169.20730328732182,16.867706146319616,2047.1789208908876,0.6371538569022139,0.4,0.43333333333333335,0.43333333333333335,B_live_outer_dead_inner,0.55,0.25,0.16666666666666666,-9.18361570823614,5.8302137262411655,15.013829434477305,17,0.29338865107124257
spiral_dep_1_sign_1_f_1846.76kHz_V_9.4248_u_1888_split_0.400828,101,spiral,True,1.0,1846758.1116431113,3.7770690382143286,173.44622419588902,137.83822872333218,9.424800497745295,1888.081734571125,0.40082821826655674,0.38333333333333336,0.4583333333333333,0.4583333333333333,B_live_outer_dead_inner,0.2833333333333333,0.48333333333333334,0.15833333333333333,-4.776260438740503,0.42763382691101104,5.203894265651514,41,0.2891489103959394
spiral_dep_1_sign_1_f_1570.71kHz_V_6.59305_u_1348_split_0.423485,101,spiral,True,1.0,1570705.9862970605,3.2720161637021734,195.61269394142394,94.90938898153372,6.593050573254073,1348.1382140027197,0.4234846035283427,0.43333333333333335,0.4083333333333333,0.43333333333333335,A_live_inner_dead_outer,0.2833333333333333,0.5833333333333334,0.15833333333333333,-5.330772059607302,5.098633693445365,10.429405753052666,25,0.28505095634554406
spiral_dep_1_sign_1_f_984.897kHz_V_10.3045_u_3517_split_0.549992,101,spiral,True,1.0,984896.6445961514,6.1010564395458085,308.38419781189157,174.85523870231222,10.304523246688003,3517.2934949794294,0.549992330938595,0.375,0.4583333333333333,0.4583333333333333,B_live_outer_dead_inner,0.36666666666666664,0.38333333333333336,0.16666666666666666,17.83410347278702,11.67468535746139,6.15941811532563,26,0.28297100579463585
spiral_dep_1_sign_1_f_186.927kHz_V_13.2367_u_4355_split_0.645518,101,spiral,True,1.0,186926.58391376445,3.541574886156008,285.76048069287816,122.25609268285677,13.23667289661961,4354.736305842093,0.6455184695387912,0.425,0.4083333333333333,0.425,A_live_inner_dead_outer,0.5666666666666667,0.2833333333333333,0.16666666666666666,-7.725712942779391,6.539449186650126,14.265162129429516,33,0.28206064851771806
spiral_dep_1_sign_1_f_718.215kHz_V_7.97805_u_636_split_0.365526,101,spiral,True,1.0,718215.4596568791,2.5887046536738247,122.15805462473193,119.53037989549419,7.978049323565031,635.5992820893912,0.3655258181912147,0.38333333333333336,0.44166666666666665,0.44166666666666665,B_live_outer_dead_inner,0.18333333333333332,0.5833333333333334,0.175,-10.745568191735234,-2.3432780982426378,8.402290093492596,7,0.265275827040637
spiral_dep_1_sign_1_f_427.744kHz_V_7.72975_u_3539_split_0.463524,101,spiral,True,1.0,427743.54992381996,6.788304643846694,146.29151564654669,129.71898773204467,7.729753599344145,3539.455528619269,0.4635238612060984,0.4166666666666667,0.425,0.425,B_live_outer_dead_inner,0.25,0.5833333333333334,0.15833333333333333,7.68827065097557,14.718230390902086,7.029959739926516,43,0.2631198389597061
spiral_dep_1_sign_1_f_1510.34kHz_V_9.87264_u_4073_split_0.643613,101,spiral,True,1.0,1510339.5540085481,4.373766275924489,262.86020299996034,91.11582648569289,9.87263875672283,4072.985903610756,0.6436133491215836,0.35,0.45,0.45,B_live_outer_dead_inner,0.43333333333333335,0.26666666666666666,0.2,-1.227110753069229,7.942758050146703,9.169868803215932,40,0.24667947521286376
spiral_dep_1_sign_1_f_1898.16kHz_V_11.0198_u_1090_split_0.551346,101,spiral,True,1.0,1898157.6068712608,3.710867853857214,298.63804692517334,125.53177097444164,11.019750021847658,1089.9752656601477,0.5513457470446785,0.2916666666666667,0.475,0.475,B_live_outer_dead_inner,0.2,0.38333333333333336,0.23333333333333334,-17.79582135811377,-0.027700747115007356,17.768120610998764,8,-0.533927517556005
spiral_dep_1_sign_1_f_1171.04kHz_V_8.9342_u_2087_split_0.529987,101,spiral,True,1.0,1171041.426009621,4.239855222041675,245.10004721455653,112.55793938665197,8.934201795729162,2086.5782114501662,0.5299871431741179,0.35,0.44166666666666665,0.44166666666666665,B_live_outer_dead_inner,0.26666666666666666,0.43333333333333335,0.20833333333333334,-5.852250451159189,7.575061077480403,13.427311528639592,31,-0.554624087218775
spiral_dep_1_sign_1_f_1728.37kHz_V_15.5674_u_3156_split_0.36922,101,spiral,True,1.0,1728373.950795034,4.939043074326857,144.2360169605378,141.23331336792307,15.567374447146246,3156.278042262552,0.36921996516439753,0.4166666666666667,0.375,0.4166666666666667,A_live_inner_dead_outer,0.11666666666666667,0.7166666666666667,0.20833333333333334,-2.283127871998849,11.659095212764024,13.942223084762873,13,-0.5775644409942818
spiral_dep_1_sign_1_f_920.631kHz_V_16.0619_u_929_split_0.629222,101,spiral,True,1.0,920630.802465305,6.904709434382938,281.5710375862677,160.9793180449288,16.061892795921658,928.5011186140608,0.629221939397315,0.25833333333333336,0.38333333333333336,0.38333333333333336,B_live_outer_dead_inner,0.23333333333333334,0.2833333333333333,0.35833333333333334,-33.29996470016496,9.898632427625323,43.198597127790286,42,-0.6738722781555055
spiral_dep_1_sign_1_f_1382.4kHz_V_6.97158_u_2491_split_0.415819,101,spiral,True,1.0,1382396.9065680583,5.223080033925947,272.7401948333666,86.21314393085342,6.971575005321523,2491.1328192951187,0.41581926581208306,0.375,0.3416666666666667,0.375,A_live_inner_dead_outer,0.18333333333333332,0.5666666666666667,0.2833333333333333,-2.752203691244622,14.226626706493738,16.97883039773836,35,-0.6970846784090465
spiral_dep_1_sign_1_f_639.678kHz_V_17.8463_u_3832_split_0.58822,101,spiral,True,1.0,639678.1189130956,3.4367493529320154,167.5070207038542,100.6952402883733,17.84629308441837,3831.668539131391,0.5882204325077365,0.31666666666666665,0.35833333333333334,0.35833333333333334,B_live_outer_dead_inner,0.3,0.3333333333333333,0.325,-11.33297741298004,13.738255492191966,25.071232905172003,24,-0.7313817350459787
spiral_dep_1_sign_1_f_1647.35kHz_V_14.2328_u_826_split_0.598226,101,spiral,True,1.0,1647348.2607835133,6.707468804902898,176.10563215448218,145.91145732192294,14.232806905114117,825.9859788220707,0.5982258470269723,0.275,0.3416666666666667,0.3416666666666667,B_live_outer_dead_inner,0.21666666666666667,0.3333333333333333,0.38333333333333336,-35.735773951709874,5.386832890652519,41.122606842362394,21,-0.7538429059638838
spiral_dep_1_sign_1_f_341.58kHz_V_8.53427_u_1540_split_0.521436,101,spiral,True,1.0,341579.9734178113,4.509975651618852,190.41777257147027,80.68531307391868,8.534267567054354,1539.864675907084,0.5214360080813379,0.36666666666666664,0.2833333333333333,0.36666666666666664,A_live_inner_dead_outer,0.2,0.5333333333333333,0.35,-13.548653782248499,9.517269355296522,23.06592313754502,18,-0.7610696407831533
spiral_dep_1_sign_1_f_831.07kHz_V_15.9237_u_1440_split_0.352497,101,spiral,True,1.0,831069.7804342633,5.113343111084048,292.4195635000275,138.920929513842,15.92367930231028,1439.7297218038702,0.35249651876250215,0.2833333333333333,0.35,0.35,B_live_outer_dead_inner,0.016666666666666666,0.55,0.36666666666666664,-27.25944344079737,4.773289074718635,32.032732515516,15,-0.761869069937936
spiral_dep_1_sign_1_f_495.533kHz_V_12.8486_u_2901_split_0.6057,101,spiral,True,1.0,495532.83938159706,2.7942033489062976,316.2229310615608,82.18359670061538,12.84862791246467,2901.123135618795,0.6057004602186806,0.35833333333333334,0.2833333333333333,0.35833333333333334,A_live_inner_dead_outer,0.3,0.4166666666666667,0.35833333333333334,-19.528177672613875,6.690423062298396,26.218600734912272,9,-0.7667922637270176
spiral_dep_1_sign_1_f_1415.27kHz_V_13.9262_u_2283_split_0.540586,101,spiral,True,1.0,1415272.5806153272,4.892025558062095,235.5341540470925,99.0796763259345,13.9262095269741,2283.4019479084864,0.5405858384202521,0.275,0.36666666666666664,0.36666666666666664,B_live_outer_dead_inner,0.21666666666666667,0.3333333333333333,0.35833333333333334,-18.746613656595734,5.248829043945848,23.99544270054158,23,-0.7673515625311671
spiral_dep_1_sign_1_f_1344.91kHz_V_17.3184_u_1288_split_0.486838,101,spiral,True,1.0,1344906.6023234322,5.6341865737945795,254.55381614974166,128.0504230183017,17.318428481358367,1287.8472681433743,0.48683769168649865,0.24166666666666667,0.35,0.35,B_live_outer_dead_inner,0.11666666666666667,0.36666666666666664,0.4083333333333333,-33.4313970640091,4.544349411989491,37.97574647599859,0,-0.7880970140960057
spiral_dep_1_sign_1_f_57.2692kHz_V_12.6496_u_3903_split_0.409982,101,spiral,True,1.0,57269.2268055646,6.614503011248778,290.5923567985806,90.0294674478317,12.649607182977217,3902.982971995359,0.4099818864270086,0.35833333333333334,0.16666666666666666,0.35833333333333334,A_live_inner_dead_outer,0.1,0.6166666666666667,0.475,-13.201748615542254,12.084926168528783,25.28667478407104,20,-0.9105199675303826
spiral_dep_1_sign_1_f_608.705kHz_V_9.77915_u_873_split_0.508654,101,spiral,True,1.0,608704.7414438379,6.955196134992885,182.33620292511557,107.95645693346916,9.779154226379232,873.4294108571561,0.5086540660957056,0.26666666666666666,0.25833333333333336,0.26666666666666666,A_live_inner_dead_outer,0.1,0.43333333333333335,0.475,-33.661485673912416,9.126568776606259,42.78805445051867,12,-0.9321811155312587
spiral_dep_1_sign_1_f_1967.05kHz_V_16.6332_u_3082_split_0.489413,101,spiral,True,1.0,1967049.32106815,6.354634819008992,242.55105046172298,102.14210976425159,16.633152799622778,3082.1445640740735,0.4894130396437678,0.2,0.275,0.275,B_live_outer_dead_inner,0.11666666666666667,0.2833333333333333,0.525,-26.190919941746532,15.341572023377513,41.532491965124045,4,-0.9888700321395039
spiral_dep_1_sign_1_f_563.332kHz_V_13.3708_u_3403_split_0.442458,101,spiral,True,1.0,563332.2514183765,4.636134437636866,154.99466223517473,74.66095826666643,13.370767117087267,3403.016844984565,0.44245802290837155,0.2916666666666667,0.18333333333333332,0.2916666666666667,A_live_inner_dead_outer,0.05,0.5333333333333333,0.525,-21.291813219863045,8.592092706277992,29.883905926141036,1,-1.0187977096287693
spiral_dep_1_sign_1_f_1043.19kHz_V_15.2339_u_701_split_0.571848,101,spiral,True,1.0,1043187.8897500107,3.015124066146071,152.84071283686797,85.40056025756988,15.233857421394339,700.800865897369,0.571848277709355,0.11666666666666667,0.31666666666666665,0.31666666666666665,B_live_outer_dead_inner,0.0,0.23333333333333334,0.5666666666666667,-30.132699345913828,-1.2531469059265041,28.879552439987325,45,-1.047815123573384
spiral_dep_1_sign_1_f_1703.27kHz_V_12.2604_u_2719_split_0.474195,101,spiral,True,1.0,1703274.791599185,5.499947168853549,274.8621389949395,70.58199750080125,12.260390161173943,2718.9698836780176,0.47419504734055257,0.23333333333333334,0.08333333333333333,0.23333333333333334,A_live_inner_dead_outer,0.016666666666666666,0.45,0.6833333333333333,-22.700213978768844,12.520684521946702,35.22089850071555,36,-1.2457830726638046
spiral_dep_1_sign_1_f_1535.39kHz_V_13.7067_u_2601_split_0.568673,101,spiral,True,1.0,1535387.205839166,6.266005916555149,299.55702288739303,77.00042553673082,13.706664258723801,2601.050062267294,0.5686734767859811,0.15833333333333333,0.18333333333333332,0.18333333333333332,B_live_outer_dead_inner,0.0,0.31666666666666665,0.6583333333333333,-25.90658730665266,11.676386642025482,37.582973948678145,22,-1.256334770871954
spiral_dep_1_sign_1_f_1942.31kHz_V_17.6557_u_2202_split_0.436406,101,spiral,True,1.0,1942313.65590396,5.17585430183091,201.8680587546045,73.19773907836877,17.65573258625252,2202.0740415292353,0.4364063341737848,0.18333333333333332,0.14166666666666666,0.18333333333333332,A_live_inner_dead_outer,0.0,0.36666666666666664,0.675,-24.274365675381098,9.394661769196855,33.66902744457795,32,-1.291990556888355
